period,fuel,value
2023,Total,1689341
2022,Total,1756519
2021,Total,1722794
2020,Total,1641082
2019,Total,1822743
2018,Total,1857732
2017,Total,1779864
2016,Total,1770218
2015,Total,1745646
2014,Total,1868758
2013,Total,1821287
2012,Total,1748077
2011,Total,1792947
2010,Total,1813527
2009,Total,1742930
2008,Total,1874372
2007,Total,1869802
2006,Total,1821508
2005,Total,1851444
2004,Total,1846595
2003,Total,1843962
2002,Total,1767476
2001,Total,1706313
2000,Total,1735761
1999,Total,1682954
1998,Total,1613948
1997,Total,1638039
1996,Total,1669382
1995,Total,1601592
1994,Total,1512190
1993,Total,1476438
1992,Total,1432163
1991,Total,1423114
1990,Total,1399749
1989,Total,1356678
1988,Total,1325608
1987,Total,1219310
1986,Total,1210175
1985,Total,1223172
1984,Total,1211934
1983,Total,1149001
1982,Total,1150235
1981,Total,1145104
1980,Total,1192251
1979,Total,1317715
1978,Total,1318580
1977,Total,1233709
1976,Total,1262619
1975,Total,1212678
1974,Total,1205489
1973,Total,1228840
1972,Total,1180510
1971,Total,1119593
1970,Total,1080497
1969,Total,1054849
1968,Total,967720
1967,Total,906385
1966,Total,902125
1965,Total,845723
1964,Total,798302
1963,Total,759016
1962,Total,749533
1961,Total,712762
1960,Total,708144
2023,Petroleum,567064
2022,Petroleum,568942
2021,Petroleum,561836
2020,Petroleum,533056
2019,Petroleum,625015
2018,Petroleum,613902
2017,Petroleum,606298
2016,Petroleum,613114
2015,Petroleum,589322
2014,Petroleum,597525
2013,Petroleum,598167
2012,Petroleum,580654
2011,Petroleum,575707
2010,Petroleum,587689
2009,Petroleum,590884
2008,Petroleum,643535
2007,Petroleum,678958
2006,Petroleum,680945
2005,Petroleum,700917
2004,Petroleum,688025
2003,Petroleum,671245
2002,Petroleum,650633
2001,Petroleum,652093
2000,Petroleum,657500
1999,Petroleum,641002
1998,Petroleum,613318
1997,Petroleum,614840
1996,Petroleum,621533
1995,Petroleum,585943
1994,Petroleum,565003
1993,Petroleum,547209
1992,Petroleum,538597
1991,Petroleum,509447
1990,Petroleum,502903
1989,Petroleum,503752
1988,Petroleum,501511
1987,Petroleum,487282
1986,Petroleum,494237
1985,Petroleum,481704
1984,Petroleum,488996
1983,Petroleum,460833
1982,Petroleum,467279
1981,Petroleum,450175
1980,Petroleum,498349
1979,Petroleum,567901
1978,Petroleum,601144
1977,Petroleum,584823
1976,Petroleum,599225
1975,Petroleum,556785
1974,Petroleum,575569
1973,Petroleum,602583
1972,Petroleum,583054
1971,Petroleum,527837
1970,Petroleum,512466
1969,Petroleum,498747
1968,Petroleum,471719
1967,Petroleum,433071
1966,Petroleum,450411
1965,Petroleum,424101
1964,Petroleum,401486
1963,Petroleum,397851
1962,Petroleum,391131
1961,Petroleum,374735
1960,Petroleum,381283
1960,Imports,-18966
1961,Imports,-19388
1962,Imports,-21907
1963,Imports,-22549
1964,Imports,-23258
1965,Imports,-15396
1966,Imports,-13720
1967,Imports,-1164
1968,Imports,3460
1969,Imports,8877
1970,Imports,18804
1971,Imports,42067
1972,Imports,16928
1973,Imports,20337
1974,Imports,11121
1975,Imports,-5024
1976,Imports,-19586
1977,Imports,-60774
1978,Imports,-20044
1979,Imports,14994
1980,Imports,7860
1981,Imports,23518
1982,Imports,42624
