year,value,Sector,fuel_type
2003,420864,Residential,Total
2004,404292,Residential,Total
2005,402021,Residential,Total
2006,384229,Residential,Total
2007,405047,Residential,Total
2008,408068,Residential,Total
2009,393067,Residential,Total
2010,386629,Residential,Total
2011,380318,Residential,Total
2012,352318,Residential,Total
2013,395128,Residential,Total
2014,408321,Residential,Total
2015,358038,Residential,Total
2016,353541,Residential,Total
2017,359716,Residential,Total
2018,404987,Residential,Total
2019,392885,Residential,Total
2020,377689,Residential,Total
2021,382661,Residential,Total
2022,405375,Residential,Total
2023,367144,Residential,Total
2003,187597,Commercial,Total
2004,178330,Commercial,Total
2005,185058,Commercial,Total
2006,181874,Commercial,Total
2007,183917,Commercial,Total
2008,195799,Commercial,Total
2009,190898,Commercial,Total
2010,181487,Commercial,Total
2011,186450,Commercial,Total
2012,174451,Commercial,Total
2013,202141,Commercial,Total
2014,210920,Commercial,Total
2015,197833,Commercial,Total
2016,198389,Commercial,Total
2017,203278,Commercial,Total
2018,216084,Commercial,Total
2019,217069,Commercial,Total
2020,198034,Commercial,Total
2021,202714,Commercial,Total
2022,227578,Commercial,Total
2023,209262,Commercial,Total
2003,301485,Industrial,Total
2004,322402,Industrial,Total
2005,330233,Industrial,Total
2006,326980,Industrial,Total
2007,341348,Industrial,Total
2008,362710,Industrial,Total
2009,313572,Industrial,Total
2010,364063,Industrial,Total
2011,362997,Industrial,Total
2012,360705,Industrial,Total
2013,367728,Industrial,Total
2014,384197,Industrial,Total
2015,344076,Industrial,Total
2016,349996,Industrial,Total
2017,342926,Industrial,Total
2018,348186,Industrial,Total
2019,352436,Industrial,Total
2020,314604,Industrial,Total
2021,326347,Industrial,Total
2022,322238,Industrial,Total
2023,319696,Industrial,Total
