nameplate_kw,nameplate_mw,utility,technology,year_interconnected,data_source,kwac
6000,6,"Gopher Energy Storage, LLC",Batteries,2018,EIA-860,6000
6000,6,"Gopher Energy Storage, LLC",Batteries,2018,EIA-860,6000
3000,3,"Gopher Energy Storage, LLC",Batteries,2018,EIA-860,3000
1000,1,United States Solar Corporation,Batteries,2022,EIA-860,1000
5000,5,Western Minnesota Mun Pwr Agny,Batteries,2024,EIA-860,5000
13.027,0.013026999999999999,Xcel Energy,Storage,2023,PUC DER,13.027
12.216,0.012216,Xcel Energy,Storage,2023,PUC DER,12.216
13.612,0.013612,Xcel Energy,Storage,2023,PUC DER,13.612
3.84,0.0038399999999999997,Xcel Energy,Storage,2023,PUC DER,3.84
13.12,0.01312,Xcel Energy,Storage,2023,PUC DER,13.12
18,0.018,Xcel Energy,Storage,2024,PUC DER,18
12.6,0.0126,Xcel Energy,Storage,2023,PUC DER,12.6
12.71,0.01271,Xcel Energy,Storage,2023,PUC DER,12.71
30,0.03,Xcel Energy,Storage,2023,PUC DER,30
15.67,0.01567,Xcel Energy,Storage,2023,PUC DER,15.67
11.52,0.011519999999999999,Xcel Energy,Storage,2024,PUC DER,11.52
10,0.01,Xcel Energy,Storage,2024,PUC DER,10
10,0.01,Xcel Energy,Storage,2024,PUC DER,10
25.2,0.0252,Xcel Energy,Storage,2023,PUC DER,25.2
24.658,0.024658000000000003,Xcel Energy,Storage,2023,PUC DER,24.658
20.025,0.020024999999999998,Xcel Energy,Storage,2023,PUC DER,20.025
3.84,0.0038399999999999997,Xcel Energy,Storage,2023,PUC DER,3.84
3.84,0.0038399999999999997,Xcel Energy,Storage,2024,PUC DER,3.84
5,0.005,Xcel Energy,Storage,2024,PUC DER,5
5,0.005,Xcel Energy,Storage,2024,PUC DER,5
10,0.01,Xcel Energy,Storage,2024,PUC DER,10
7.68,0.007679999999999999,Xcel Energy,Storage,2024,PUC DER,7.68
5,0.005,Xcel Energy,Storage,2019,PUC DER,5
75,0.075,"Arrowhead Electric Cooperative, Inc",Storage,2024,PUC DER,75
10,0.01,Minnesota Valley Electric Cooperative,Storage,2024,PUC DER,10
23.04,0.023039999999999998,Minnesota Valley Electric Cooperative,Storage,2024,PUC DER,23.04
23,0.023,Minnesota Valley Electric Cooperative,Storage,2024,PUC DER,23
23,0.023,Minnesota Valley Electric Cooperative,Storage,2024,PUC DER,23
8,0.008,Blue Earth Light and Water,Storage,2023,PUC DER,8
7,0.007,People's Energy Cooperative,Storage,2021,PUC DER,7
9,0.009,People's Energy Cooperative,Storage,2022,PUC DER,9
20,0.02,People's Energy Cooperative,Storage,2022,PUC DER,20
15.2,0.0152,People's Energy Cooperative,Storage,2023,PUC DER,15.2
14.2,0.014199999999999999,People's Energy Cooperative,Storage,2023,PUC DER,14.2
34.4,0.0344,People's Energy Cooperative,Storage,2024,PUC DER,34.4
5.7,0.0057,People's Energy Cooperative,Storage,2024,PUC DER,5.7
7,0.007,Runestone Electric Association,Storage,2024,PUC DER,7
19.2,0.0192,Runestone Electric Association,Storage,2024,PUC DER,19.2
3.84,0.0038399999999999997,Shakopee Public Utilities,Storage,2023,PUC DER,3.84
4.38,0.00438,Shakopee Public Utilities,Storage,2023,PUC DER,4.38
7.6,0.0076,South Central Electric Association,Storage,2022,PUC DER,7.6
10,0.01,Todd-Wadena Electric Cooperative,Storage,2023,PUC DER,10
5,0.005,Willmar Municipal Utilities,Storage,2020,PUC DER,5
15.36,0.015359999999999999,Wright-Hennepin Cooperative Electric Association,Storage,2022,PUC DER,15.36
15.36,0.015359999999999999,Wright-Hennepin Cooperative Electric Association,Storage,2023,PUC DER,15.36
27,0.027,Wright-Hennepin Cooperative Electric Association,Storage,2023,PUC DER,27
10,0.01,Wright-Hennepin Cooperative Electric Association,Storage,2023,PUC DER,10
7.68,0.007679999999999999,Wright-Hennepin Cooperative Electric Association,Storage,2024,PUC DER,7.68
10,0.01,Wright-Hennepin Cooperative Electric Association,Storage,2024,PUC DER,10
7.6,0.0076,Minnesota Power,Storage,2020,PUC DER,7.6
13,0.013,Minnesota Power,Storage,2022,PUC DER,13
27,0.027,Minnesota Power,Storage,2022,PUC DER,27
10,0.01,Minnesota Power,Storage,2022,PUC DER,10
13.5,0.0135,Minnesota Power,Storage,2023,PUC DER,13.5
13,0.013,Minnesota Power,Storage,2023,PUC DER,13
54,0.054,Minnesota Power,Storage,2023,PUC DER,54
27,0.027,Minnesota Power,Storage,2023,PUC DER,27
10.5,0.0105,Minnesota Power,Storage,2023,PUC DER,10.5
3.5,0.0035,Minnesota Power,Storage,2023,PUC DER,3.5
10.5,0.0105,Minnesota Power,Storage,2023,PUC DER,10.5
9.7,0.009699999999999999,Minnesota Power,Storage,2023,PUC DER,9.7
27,0.027,Minnesota Power,Storage,2023,PUC DER,27
19.5,0.0195,Minnesota Power,Storage,2024,PUC DER,19.5
108,0.108,Minnesota Power,Storage,2024,PUC DER,108
15,0.015,Minnesota Power,Storage,2024,PUC DER,15
11.5,0.0115,Minnesota Power,Storage,2024,PUC DER,11.5
10,0.01,Minnesota Power,Storage,2024,PUC DER,10
54,0.054,Minnesota Power,Storage,2024,PUC DER,54
7.68,0.007679999999999999,Dakota Electric Association,Storage,2024,PUC DER,7.68
7.68,0.007679999999999999,Dakota Electric Association,Storage,2023,PUC DER,7.68
5,0.005,Dakota Electric Association,Storage,2023,PUC DER,5
10,0.01,Dakota Electric Association,Storage,2023,PUC DER,10
10,0.01,Dakota Electric Association,Storage,2023,PUC DER,10
10,0.01,Dakota Electric Association,Storage,2023,PUC DER,10
5,0.005,Dakota Electric Association,Storage,2023,PUC DER,5
5,0.005,Dakota Electric Association,Storage,2023,PUC DER,5
5,0.005,Dakota Electric Association,Storage,2024,PUC DER,5
10,0.01,Dakota Electric Association,Storage,2022,PUC DER,10
6.96,0.00696,Dakota Electric Association,Storage,2022,PUC DER,6.96
1.2,0.0012,Dakota Electric Association,Storage,2022,PUC DER,1.2
3.84,0.0038399999999999997,Dakota Electric Association,Storage,2023,PUC DER,3.84
3.84,0.0038399999999999997,Dakota Electric Association,Storage,2022,PUC DER,3.84
5,0.005,Dakota Electric Association,Storage,2022,PUC DER,5
5,0.005,Dakota Electric Association,Storage,2022,PUC DER,5
5,0.005,Dakota Electric Association,Storage,2023,PUC DER,5
10,0.01,Dakota Electric Association,Storage,2021,PUC DER,10
10,0.01,Dakota Electric Association,Storage,2021,PUC DER,10
10,0.01,Dakota Electric Association,Storage,2021,PUC DER,10
10,0.01,Dakota Electric Association,Storage,2022,PUC DER,10
5.12,0.00512,Dakota Electric Association,Storage,2022,PUC DER,5.12
3.84,0.0038399999999999997,Dakota Electric Association,Storage,2022,PUC DER,3.84
10,0.01,Dakota Electric Association,Storage,2021,PUC DER,10
5,0.005,Dakota Electric Association,Storage,2019,PUC DER,5
15,0.015,East Central Energy,Storage,2021,PUC DER,15
10,0.01,East Central Energy,Storage,2023,PUC DER,10
5.7,0.0057,Goodhue County Coop Electric,Storage,2022,PUC DER,5.7
14,0.014,BENCO Electric Cooperative,Storage,2023,PUC DER,14
10,0.01,Kandiyohi Power Cooperative,Storage,2023,PUC DER,10
7.5,0.0075,Lake Country Power,Storage,2021,PUC DER,7.5
9.2,0.0092,Lake Country Power,Storage,2023,PUC DER,9.2
11.5,0.0115,Lake Country Power,Storage,2024,PUC DER,11.5
10,0.01,Lake Region Electric Cooperative,Storage,2022,PUC DER,10
10,0.01,Meeker Cooperative Light & Power,Storage,2022,PUC DER,10
5,0.005,Meeker Cooperative Light & Power,Storage,2023,PUC DER,5
8,0.008,MiEnergy Cooperative,Storage,2020,PUC DER,8
5.7,0.0057,MiEnergy Cooperative,Storage,2023,PUC DER,5.7
10,0.01,Mille Lacs Energy Cooperative,Storage,2022,PUC DER,10
5.7,0.0057,Mille Lacs Energy Cooperative,Storage,2023,PUC DER,5.7
