utility,year_interconnected,nameplate_mw,kwac
ALLETE Clean Energy,1998,107.2,107200
City of Moorhead - (MN),1999,0.7,700
Northern States Power Co - Minnesota,1999,100.2,100200
Consolidated Edison Development Inc.,1999,9.2,9200
"Lakota Ridge, LLC (Longroad)",1999,11.2,11200
"Shaokatan Hills, LLC (Longroad)",1999,11.8,11800
CHI Operations Inc,2000,1.9,1900
CHI Operations Inc,2000,1.9,1900
City of Moorhead - (MN),2001,0.7,700
CHI Operations Inc,2001,1.9,1900
CHI Operations Inc,2001,1.9,1900
CHI Operations Inc,2001,1.9,1900
CHI Operations Inc,2001,1.9,1900
CHI Operations Inc,2001,1.9,1900
CHI Operations Inc,2001,1.9,1900
CHI Operations Inc,2001,1.9,1900
CHI Operations Inc,2001,1.9,1900
CHI Operations Inc,2001,1.9,1900
CHI Operations Inc,2001,1.9,1900
CHI Operations Inc,2001,1.9,1900
CHI Operations Inc,2001,1.9,1900
CHI Operations Inc,2001,1.9,1900
RENEW Energy Inc,2001,1.5,1500
Kas Brothers Windfarm LLC,2001,1.5,1500
City of Worthington - (MN),2002,0.9,900
City of Worthington - (MN),2002,0.9,900
City of Worthington - (MN),2002,0.9,900
City of Worthington - (MN),2002,0.9,900
"Community Renewables, LLC",2002,3.8,3800
Justin McNeilus,2002,32,32000
City of Worthington - (MN),2003,1,1000
City of Worthington - (MN),2003,1,1000
Justin McNeilus,2003,8,8000
Avangrid Power LLC,2003,51,51000
TG Windfarm LLC,2003,2,2000
CG Windfarm LLC,2003,2,2000
Bisson Windfarm LLC,2003,2,2000
Tofteland Windfarm LLC,2003,2,2000
Westridge Windfarm LLC,2003,2,2000
Fey Windfarm LLC,2003,2,2000
Windcurrent Farms LLC,2003,2,2000
"K-brink Windfarm, LLC",2003,2,2000
Brewster,2003,2,2000
Brewster,2003,2,2000
Boeve Windfarm LLC,2003,2,2000
Brewster,2003,2,2000
Consolidated Edison Development Inc.,2003,13.5,13500
Southern Minnesota Mun P Agny,2003,1,1000
Southern Minnesota Mun P Agny,2003,1,1000
Justin McNeilus,2004,3,3000
Consolidated Edison Development Inc.,2004,9.8,9800
"Stahl Wind Energy, LLC (Longroad)",2004,1.7,1700
"Carstensen Wind, LLC (Longroad)",2004,1.7,1700
Northern Lights Wind LLC (Longroad),2004,1.7,1700
"Lucky Wind, LLC (Longroad)",2004,1.7,1700
"Greenback Energy, LLC (Longroad)",2004,1.7,1700
Southern Minnesota Mun P Agny,2004,1.7,1700
Southern Minnesota Mun P Agny,2004,1.7,1700
Carleton College,2004,1.6,1600
Avangrid Power LLC,2005,100.5,100500
Southern Minnesota Mun P Agny,2005,1.7,1700
Southern Minnesota Mun P Agny,2005,1.7,1700
University of Minnesota WCROC,2005,1.7,1700
St. Olaf College,2006,1.6,1600
ALLETE Clean Energy,2006,5.2,5200
ALLETE Clean Energy,2006,3.9,3900
Greenbacker Renewable Energy Corporation,2006,5.4,5400
Northern States Power Co - Minnesota,2006,98.9,98900
Eastridge Wind Project,2006,10.4,10400
Midwest Power Partners LLC,2006,15.6,15600
Shane's Wind Machine LLC,2006,1.3,1300
Midwest Power Partners LLC,2006,1.3,1300
Midwest Power Partners LLC,2006,1.3,1300
Midwest Power Partners LLC,2006,1.3,1300
Midwest Power Partners LLC,2006,1.3,1300
Midwest Power Partners LLC,2006,1.3,1300
Midwest Power Partners LLC,2006,1.3,1300
Midwest Power Partners LLC,2006,1.3,1300
City of Mountain Lake - (MN),2007,1.2,1200
High Prairie Wind Farm II LLC,2007,100.7,100700
"EDF Renewable Asset Holdings, Inc.",2007,205.5,205500
"Marshall Wind Farm, LLC",2007,4.2,4200
"Marshall Wind Farm, LLC",2007,4.2,4200
"Marshall Wind Farm, LLC",2007,4.2,4200
"Marshall Wind Farm, LLC",2007,2.1,2100
"Marshall Wind Farm, LLC",2007,2.1,2100
"Marshall Wind Farm, LLC",2007,2.1,2100
"Hilltop Power, LLC",2008,2,2000
ALLETE Clean Energy,2008,8.4,8400
Avangrid Power LLC,2008,150,150000
"Ewington Energy Systems, LLC",2008,22.5,22500
"ALLETE, Inc.",2008,25,25000
Northern States Power Co - Minnesota,2008,50,50000
"Aspenall Energies (Delaware), LLC",2008,20,20000
Avangrid Power LLC,2008,99,99000
Northern States Power Co - Minnesota,2008,100.5,100500
Federated Rural Electric Assn,2008,2.1,2100
Willmar Municipal Utilities,2009,2,2000
Willmar Municipal Utilities,2009,2,2000
Avangrid Power LLC,2009,49.5,49500
"EDF Renewable Asset Holdings, Inc.",2009,100.5,100500
Northern States Power Co - Minnesota,2010,201,201000
"Grant County Wind, LLC",2010,21,21000
RENEW Energy Inc,2010,1.5,1500
RENEW Energy Inc,2010,1.5,1500
RENEW Energy Inc,2010,1.5,1500
Avangrid Power LLC,2010,148.8,148800
Wisconsin Power & Light Co,2011,201.3,201300
Carleton College,2011,1.6,1600
"EDF Renewable Asset Holdings, Inc.",2011,205.5,205500
"BEAM US, LLC",2011,20,20000
Northern States Power Co - Minnesota,2011,30,30000
Ridgewind Power Partners LLC,2011,25.3,25300
"BEAM US, LLC",2011,20,20000
Minnesota Municipal Power Agny,2011,44,44000
Consolidated Edison Development Inc.,2011,10,10000
Regents of the University of Minnesota,2011,2.5,2500
Winona County Wind LLC,2011,1.5,1500
University of Minnesota Morris Campus,2011,1.7,1700
GL Wind LLC,2011,2.5,2500
GL Wind LLC,2011,2.5,2500
Greenbacker Renewable Energy Corporation,2012,30,30000
Big Blue Wind Farm LLC (MN),2012,36,36000
"Enel Green Power NA, Inc.",2012,200,200000
Lakeswind Power Partners,2014,51.8,51800
Northern States Power Co - Minnesota,2015,200,200000
Algonquin Power Co,2016,200,200000
"South Fork Wind, LLC",2016,13.8,13800
"Black Oak Wind, LLC",2016,78,78000
"EDF Renewable Asset Holdings, Inc.",2017,200,200000
"Palmer's Creek Wind Farm, LLC",2018,44.6,44600
"Lake Region Community Hybrid, LLC",2018,2,2000
"EDF Renewable Asset Holdings, Inc.",2019,100,100000
Northern States Power Co - Minnesota,2020,200,200000
"Nobles 2 Power Partners, LLC",2020,250,250000
"Rock County Wind Fuel, LLC",2020,5,5000
Consolidated Edison Development Inc.,2020,4.6,4600
"REG Juhl Glenville Wind, LLC",2020,2.5,2500
Northern States Power Co - Minnesota,2021,200,200000
Northern States Power Co - Minnesota,2021,218,218000
Northern States Power Co - Minnesota,2022,20,20000
"Buffalo Ridge Wind, LLC",2022,106,106000
"Walleye Wind, LLC",2022,110,110000
Northern States Power Co - Minnesota,2023,100,100000
